janela,negociacao,ativo1,ativo2,rank,ssd,sigma,n_trades,n_fechados,n_forcados,retorno_total
1991/S1_a_1991/S2,1992/S1,CEG,SCG,6,0.0948740756515462,0.019397947092719,2,1,1,0.03383604988394695
1991/S1_a_1991/S2,1992/S1,CEG,AYE,7,0.0952008878225569,0.0194007586654398,3,3,0,0.1188301622265614
1991/S1_a_1991/S2,1992/S1,AEP,FPC,8,0.0996664167141716,0.017936259694118,3,3,0,0.1042334081163635
1991/S1_a_1991/S2,1992/S1,D,UEP,9,0.1000759563262363,0.0197277810986034,2,1,1,0.07388811689919672
1991/S1_a_1991/S2,1992/S1,NEE,AYE,10,0.1021922545128291,0.0201335697006349,2,2,0,0.07599004006798771
1991/S1_a_1991/S2,1992/S1,EIX,NEE,11,0.1028519828043954,0.0201844386145591,1,1,0,0.06217884247742689
1991/S1_a_1991/S2,1992/S1,CEG,NEE,12,0.1046737168127265,0.0203189502456711,1,1,0,0.037061174711834344
1991/S1_a_1991/S2,1992/S1,45200Q,ES,13,0.1085617700159673,0.0206879070378929,3,2,1,0.06065178999772791
1991/S1_a_1991/S2,1992/S1,EIX,AYE,14,0.1092885098588567,0.0207869225833775,2,2,0,0.09219486943067878
1991/S1_a_1991/S2,1992/S1,D,DTE,15,0.1112232536712554,0.0209894711831534,2,1,1,-0.018040756616202636
1991/S1_a_1991/S2,1992/S1,WEC,ES,16,0.1151199171434882,0.021366631223917,4,3,1,0.15002391598873577
1991/S1_a_1991/S2,1992/S1,45200Q,D,17,0.1210246182416767,0.0202827835449279,4,3,1,0.12286262231149658
1991/S1_a_1991/S2,1992/S1,PPL,TE,18,0.1223912144369023,0.0220163471017372,2,1,1,0.028408001838961305
1991/S1_a_1991/S2,1992/S1,PEG,0961514D,19,0.1259964621602876,0.022004786332303,1,0,1,0.020919100084414555
1991/S1_a_1991/S2,1992/S1,45200Q,DTE,20,0.126769654443251,0.0204572962251017,2,1,1,-0.07346472916258029
1991/S2_a_1992/S1,1992/S2,NEE,FPC,1,0.0682141962299738,0.0142859777917046,1,0,1,-0.011042580234079447
1991/S2_a_1992/S1,1992/S2,AEP,NEE,2,0.0689126120398668,0.0151127587469226,3,2,1,0.10340750469715365
1991/S2_a_1992/S1,1992/S2,NEE,PPL,3,0.0795725299760761,0.0177159977644699,1,0,1,0.00126744784872046
1991/S2_a_1992/S1,1992/S2,DUK,WEC,4,0.0802885044006416,0.0157453221506264,1,0,1,-0.025488673117269323
1991/S2_a_1992/S1,1992/S2,FPC,AYE,5,0.0905701616984515,0.0184983096011805,1,1,0,0.04414541517455339
1991/S2_a_1992/S1,1992/S2,USW,BLS,6,0.1011902891731324,0.0194774874988323,3,3,0,0.1452915357583323
1991/S2_a_1992/S1,1992/S2,PPL,FPC,7,0.1085805330533276,0.0193939996540325,1,1,0,0.04077365250777787
1991/S2_a_1992/S1,1992/S2,BLS,3054Q,8,0.1105178035986682,0.0188569057319028,3,2,1,0.031010639406099272
1991/S2_a_1992/S1,1992/S2,AEP,PPL,9,0.1121792619098869,0.0196972017115484,1,0,1,0.0037829683234965605
1991/S2_a_1992/S1,1992/S2,NEE,AYE,10,0.1122424777058768,0.0206559140213497,1,0,1,-0.0010065913779225832
1991/S2_a_1992/S1,1992/S2,TXU,FPC,11,0.1199080011783735,0.021003806533476,2,2,0,0.07752347931921377
1991/S2_a_1992/S1,1992/S2,PPL,AYE,12,0.1201289242959546,0.021537666034074,1,1,0,0.0550119781175048
1991/S2_a_1992/S1,1992/S2,AYE,TE,13,0.1263740819807708,0.0222085008072379,1,0,1,-0.007872186115770452
1991/S2_a_1992/S1,1992/S2,D,FPC,14,0.1364629768738723,0.0228954039718769,1,1,0,0.041060062551669385
1991/S2_a_1992/S1,1992/S2,CEG,SCG,15,0.1371785615714316,0.0231696959934287,3,2,1,0.05666273273791689
1991/S2_a_1992/S1,1992/S2,300583Q,8375930Q,16,0.140753454811886,0.0233461251601992,3,3,0,0.24460011354035005
1991/S2_a_1992/S1,1992/S2,TXU,AYE,17,0.1408123842380746,0.0215051882124404,1,1,0,0.03346132619049769
1991/S2_a_1992/S1,1992/S2,AEP,FPC,18,0.1414214375940901,0.018495436855031,1,0,1,-0.003179170849968105
1991/S2_a_1992/S1,1992/S2,45200Q,PPL,19,0.1439579928671719,0.0203946278859386,4,3,1,0.16875319732009342
1991/S2_a_1992/S1,1992/S2,NEE,TXU,20,0.1461850188579774,0.0196668893032698,2,1,1,0.031059751843607986
1992/S1_a_1992/S2,1993/S1,XEL,TXU,1,0.0610998953487751,0.0155393907481126,2,1,1,0.015821604073018913
1992/S1_a_1992/S2,1993/S1,DUK,PPL,2,0.0657523121285521,0.0160274756284935,2,2,0,0.06430445183972622
1992/S1_a_1992/S2,1993/S1,XEL,NEE,3,0.0716877865619949,0.0168329626616672,2,2,0,0.06558060835878288
1992/S1_a_1992/S2,1993/S1,PPL,FPC,4,0.074035293779616,0.0170105572837299,2,1,1,0.05896053960292713
1992/S1_a_1992/S2,1993/S1,DUK,FPC,5,0.076337872458339,0.0170051112588369,2,1,1,0.03300412886832971
1992/S1_a_1992/S2,1993/S1,D,DUK,6,0.0767111772308908,0.0148047765851453,3,2,1,0.06981157973514651
1992/S1_a_1992/S2,1993/S1,CEG,NEE,7,0.0885027413502257,0.0187018307804417,1,0,1,-0.04510915424492801
1992/S1_a_1992/S2,1993/S1,D,FPC,8,0.0992551712906788,0.0189919868235503,1,0,1,-0.025395958838726362
1992/S1_a_1992/S2,1993/S1,D,PPL,9,0.0996683555922572,0.0184043566556732,1,0,1,-0.005714669302243958
1992/S1_a_1992/S2,1993/S1,DUK,CNP,10,0.1045354947031,0.0194109015908469,1,0,1,-0.08522757822613247
1992/S1_a_1992/S2,1993/S1,45200Q,AYE,11,0.1133886787029041,0.021169748949409,3,2,1,0.11430292839314415
1992/S1_a_1992/S2,1993/S1,USW,BLS,12,0.1162191672692074,0.02102171349085,2,1,1,-0.020256713944466043
1992/S1_a_1992/S2,1993/S1,XEL,GPUI,13,0.1162723526265381,0.0164191781153372,2,1,1,-0.03607989127757194
1992/S1_a_1992/S2,1993/S1,D,CNP,14,0.1290115965251743,0.0223631451988806,1,0,1,-0.10941512879590987
1992/S1_a_1992/S2,1993/S1,XEL,CEG,15,0.1318928583655179,0.0228305969196466,1,0,1,-0.024112825552005446
1992/S1_a_1992/S2,1993/S1,NEE,TXU,16,0.1323480200690028,0.0228706621437725,1,0,1,-0.005539568674500894
1992/S1_a_1992/S2,1993/S1,CEG,TXU,17,0.1334444426179288,0.0229617975357627,3,3,0,0.1519999748352856
1992/S1_a_1992/S2,1993/S1,CNP,EXC,18,0.1339771042125903,0.022001968067785,1,0,1,-0.12648219732135801
1992/S1_a_1992/S2,1993/S1,XOM,677004Q,19,0.1358848606154197,0.0228394693378351,1,0,1,-0.0063965253687287005
1992/S1_a_1992/S2,1993/S1,AEP,SCG,20,0.1374500925776942,0.0202840408969912,3,3,0,0.14308971954415428
1992/S2_a_1993/S1,1993/S2,D,DUK,1,0.0702516390940672,0.0133930170467117,4,3,1,0.09295253181699104
1992/S2_a_1993/S1,1993/S2,45200Q,AEP,2,0.0767205067436407,0.0173680031289246,1,0,1,-0.06981728944597654
1992/S2_a_1993/S1,1993/S2,DUK,PPL,3,0.0781671394705654,0.0158751292350627,1,0,1,-0.13350777112452916
1992/S2_a_1993/S1,1993/S2,D,PPL,4,0.0788725068686062,0.0175743689932997,1,0,1,-0.11029040925891309
1992/S2_a_1993/S1,1993/S2,45200Q,CEG,5,0.0826425604434462,0.0180456395841787,1,0,1,-0.035328709573184236
1992/S2_a_1993/S1,1993/S2,DTE,PPL,6,0.0877337988129056,0.0184829596810382,2,1,1,0.0038854950426948642
1992/S2_a_1993/S1,1993/S2,45200Q,PPL,7,0.0882525593442551,0.0186082693756503,1,0,1,0.0012067210459618671
1992/S2_a_1993/S1,1993/S2,FPC,TEG,8,0.0893933230812535,0.0151067118874091,3,2,1,0.07728133679331561
1992/S2_a_1993/S1,1993/S2,CEG,PPL,9,0.0937545035138782,0.018862765503919,1,0,1,-0.06550333646823459
1992/S2_a_1993/S1,1993/S2,45200Q,D,10,0.0938929882275942,0.0187790882243817,1,0,1,-0.06759231417266554
1992/S2_a_1993/S1,1993/S2,XEL,FPC,11,0.0982535720451096,0.0167983407239253,1,0,1,-0.001492090710897953
1992/S2_a_1993/S1,1993/S2,XEL,571300Q,12,0.1046614015732529,0.0198535625259089,2,1,1,0.059056976230475566
1992/S2_a_1993/S1,1993/S2,CEG,DTE,13,0.1067110990481978,0.0193860118563378,1,0,1,-0.13215544194607332
1992/S2_a_1993/S1,1993/S2,3891289Q,SCG,14,0.1109541035909842,0.0205377636260424,5,4,1,0.18509450446496012
1992/S2_a_1993/S1,1993/S2,DUK,FPC,15,0.1135164649012949,0.0186413829280136,1,0,1,-0.06297469497822583
1992/S2_a_1993/S1,1993/S2,CEG,D,16,0.1143017219443436,0.020316806599927,1,0,1,-0.003331229864531493
1992/S2_a_1993/S1,1993/S2,XEL,DTE,17,0.1145142519197861,0.0187103374846204,4,3,1,0.06761248931438679
1992/S2_a_1993/S1,1993/S2,45200Q,DUK,18,0.1249466097572167,0.0216486494274861,1,0,1,-0.08320864157233931
1992/S2_a_1993/S1,1993/S2,AEP,D,19,0.1273883802200544,0.021530195349724,1,1,0,0.04340817847338052
1992/S2_a_1993/S1,1993/S2,AEP,CEG,20,0.1273917746460711,0.0225283432040843,1,0,1,0.013149041585505339
1993/S1_a_1993/S2,1994/S1,MHFI,SPGI,1,0.0247574490134638,0.0098987417631644,12,11,1,0.3165069511100882
1993/S1_a_1993/S2,1994/S1,ED,PPL,2,0.0805544110362461,0.0147555850092825,1,0,1,-0.09134405607252893
1993/S1_a_1993/S2,1994/S1,NEE,WEC,3,0.0812752300670354,0.0179510313528164,3,2,1,0.09475929329404331
1993/S1_a_1993/S2,1994/S1,FPC,WEC,4,0.0971465789079957,0.0196604587379201,1,0,1,-0.07855837615919414
1993/S1_a_1993/S2,1994/S1,1005945D,XEL,5,0.1113036911796143,0.0188992353548521,1,0,1,-0.14037110946968723
1993/S1_a_1993/S2,1994/S1,CIN,AYE,6,0.1206704668602469,0.0208073777771312,3,3,0,0.1495154503169711
1993/S1_a_1993/S2,1994/S1,45200Q,PEG,7,0.1235905433240986,0.0212872082065027,1,0,1,-0.12002600818312914
1993/S1_a_1993/S2,1994/S1,NI,SCG,8,0.1278594855281198,0.0219956294112202,1,0,1,0.012357394914876085
1993/S1_a_1993/S2,1994/S1,AEP,SO,9,0.1373351732969467,0.0230897137652363,1,0,1,-0.06751054561698056
1993/S1_a_1993/S2,1994/S1,CEG,PEG,10,0.140605188137215,0.0236441900068414,2,1,1,0.036680945622974304
1993/S1_a_1993/S2,1994/S1,AEP,AYE,11,0.14242602410593,0.0202482743074033,2,1,1,0.04373538222599849
1993/S1_a_1993/S2,1994/S1,UEP,PNW,12,0.1442554126743971,0.0237146957925549,3,2,1,0.0884357543349018
1993/S1_a_1993/S2,1994/S1,45200Q,PPL,13,0.1466478380477838,0.0172754300779227,2,1,1,0.0713748625534395
1993/S1_a_1993/S2,1994/S1,DUK,SO,14,0.1552478762347391,0.0241398507744497,1,1,0,0.05489207791204764
1993/S1_a_1993/S2,1994/S1,DUK,AYE,15,0.1596036221615122,0.0250581280534811,2,1,1,0.03236086260451232
1993/S1_a_1993/S2,1994/S1,CEG,TEG,16,0.1625678172786138,0.0195280599836077,2,2,0,0.07963156363951573
1993/S1_a_1993/S2,1994/S1,TXU,PPL,17,0.1627408923372968,0.0253137089546242,1,1,0,0.05902521941224437
1993/S1_a_1993/S2,1994/S1,ETR,CIN,18,0.1631378841715332,0.0253939067956968,4,3,1,0.04976928595372432
1993/S1_a_1993/S2,1994/S1,NEE,FPC,19,0.1667871006458199,0.0257029553097316,4,3,1,0.23844859556404863
1993/S1_a_1993/S2,1994/S1,AEP,DUK,20,0.1677836097462659,0.0239554841666294,1,0,1,-0.06993468259313418
1993/S2_a_1994/S1,1994/S2,MHFI,SPGI,1,0.0396978928015414,0.0121531172243668,9,9,0,0.31819509429096826
1993/S2_a_1994/S1,1994/S2,AEP,AYE,2,0.0808869633121958,0.017881873645907,2,1,1,0.016041478842708456
1993/S2_a_1994/S1,1994/S2,PPW,SCG,3,0.0941760278155925,0.0167278347478465,3,2,1,0.04371902226751545
1993/S2_a_1994/S1,1994/S2,AEP,CIN,4,0.0971875558517467,0.0180711804923395,1,0,1,-0.0016985330105763197
1993/S2_a_1994/S1,1994/S2,PEG,FPC,5,0.1001171284912629,0.0197040118753649,1,0,1,-0.027524932328631735
1993/S2_a_1994/S1,1994/S2,CIN,AYE,6,0.101087150943897,0.0189154975228199,3,2,1,0.1318287231871662
1993/S2_a_1994/S1,1994/S2,CEG,WEC,7,0.1079895567478388,0.0206870460921119,2,1,1,0.04945363104382361
1993/S2_a_1994/S1,1994/S2,EXC,GPUI,8,0.1141114681350359,0.020266463986287,2,1,1,0.09414533193539731
1993/S2_a_1994/S1,1994/S2,NEE,AYE,9,0.1163063780763309,0.0161682859828049,1,0,1,-0.05552078648537628
1993/S2_a_1994/S1,1994/S2,UEP,FPC,10,0.1207528586290322,0.019452134402219,1,0,1,0.020063993422420157
1993/S2_a_1994/S1,1994/S2,PEG,UEP,11,0.1235009226390957,0.0178849214157678,1,0,1,-0.026349931893394296
1993/S2_a_1994/S1,1994/S2,0961514D,PPL,12,0.1414658174416558,0.0236085241750753,1,0,1,-0.14774497158309918
1993/S2_a_1994/S1,1994/S2,FPC,AYE,13,0.1421787503566633,0.0167508396942189,1,0,1,-0.03651488341644582
1993/S2_a_1994/S1,1994/S2,XOM,L,14,0.1428857542211972,0.0229400292858078,3,2,1,0.11885918014904628
1993/S2_a_1994/S1,1994/S2,1005945D,0961514D,15,0.1464395594312577,0.0240050519186362,1,0,1,0.008541239270467571
1993/S2_a_1994/S1,1994/S2,NI,WEC,16,0.1509689258260778,0.0227158419403804,2,1,1,0.05789088318072522
1993/S2_a_1994/S1,1994/S2,SO,SCG,17,0.1511492457552776,0.0203885523358813,2,1,1,0.0282190159925505
1993/S2_a_1994/S1,1994/S2,8375930Q,COP,18,0.1529099336468107,0.0124818607092532,1,0,1,-0.0077029421389176456
1993/S2_a_1994/S1,1994/S2,MMM,WYE,19,0.156450490228508,0.0234617681680777,2,1,1,0.08849046866199917
1993/S2_a_1994/S1,1994/S2,CVX,677004Q,20,0.1593754316903641,0.0237094739170441,1,0,1,-0.021979040754163015
1994/S1_a_1994/S2,1995/S1,MHFI,SPGI,1,0.0340933453601337,0.0114826766412546,4,4,0,0.12243196300442838
1994/S1_a_1994/S2,1995/S1,0961514D,UEP,2,0.0678855143497685,0.0163122734454139,3,2,1,0.037107867869196065
1994/S1_a_1994/S2,1995/S1,CMS,TE,3,0.1114082733735131,0.0210617603090847,4,3,1,0.2082349718436045
1994/S1_a_1994/S2,1995/S1,AEP,NEE,4,0.1180448329062073,0.0216309542589974,1,0,1,0.015201640935842753
1994/S1_a_1994/S2,1995/S1,DTE,CMS,5,0.1219918431721112,0.0219210427190255,1,0,1,-0.010631851565543582
1994/S1_a_1994/S2,1995/S1,UEP,FPC,6,0.1227813669243005,0.0171827728797807,2,1,1,0.0777675963554273
1994/S1_a_1994/S2,1995/S1,DTE,UEP,7,0.1385990716247533,0.0232413234276413,1,0,1,-0.0033167264790227025
1994/S1_a_1994/S2,1995/S1,0961514D,FPC,8,0.1437876202490997,0.0208035848854682,2,1,1,0.021549001875874385
1994/S1_a_1994/S2,1995/S1,DTE,0961514D,9,0.1528703102642339,0.0246403498772842,1,1,0,0.05620850038301539
1994/S1_a_1994/S2,1995/S1,CIN,AYE,10,0.1555547452448991,0.0246923748731371,1,0,1,-0.007217581608556234
1994/S1_a_1994/S2,1995/S1,SO,DTE,11,0.1560246211284948,0.0236111932392274,2,2,0,0.10220993104379539
1994/S1_a_1994/S2,1995/S1,DUK,UEP,12,0.1570384231542334,0.0249348317970517,1,1,0,0.05127252742996424
1994/S1_a_1994/S2,1995/S1,RHDCQ,L,13,0.1610475143825738,0.0239183891763611,1,0,1,-0.2887478507568382
1994/S1_a_1994/S2,1995/S1,8375930Q,COP,14,0.1647700393800732,0.0125141428441181,1,0,1,-0.008890493602043636
1994/S1_a_1994/S2,1995/S1,DTE,TE,15,0.1676375314817733,0.0256853691412709,1,0,1,0.013706931659298482
1994/S1_a_1994/S2,1995/S1,1005945D,CIN,16,0.1693840069714838,0.025977136232526,3,2,1,0.10781927383103818
1994/S1_a_1994/S2,1995/S1,3277Q,TXT,17,0.1768856603269455,0.0247935356538062,2,1,1,0.07043852148530683
1994/S1_a_1994/S2,1995/S1,MMM,PAS,18,0.1797231405758452,0.0258567231519058,3,2,1,0.11730749713099708
1994/S1_a_1994/S2,1995/S1,XOM,677004Q,19,0.1818235288652658,0.0262338720230789,1,0,1,-0.0496033115555744
1994/S1_a_1994/S2,1995/S1,PDG,HM,20,0.1840796440204144,0.0243855003641405,1,0,1,-0.22391554740112551
1994/S2_a_1995/S1,1995/S2,MHFI,SPGI,1,0.0331324699967581,0.0109733326354981,7,7,0,0.2122736847368465
1994/S2_a_1995/S1,1995/S2,677004Q,300583Q,2,0.1035429365824711,0.0198839977730831,2,1,1,-0.08591925235281017
1994/S2_a_1995/S1,1995/S2,2196Q,2638Q,3,0.1248724010064279,0.0216212794492799,4,3,1,0.146787136787925
1994/S2_a_1995/S1,1995/S2,D,SCG,4,0.1280476287261081,0.0224805827865782,1,0,1,-0.11214264447370814
1994/S2_a_1995/S1,1995/S2,8375930Q,COP,5,0.1331704247587595,0.0115524500067368,1,0,1,-0.009549567066923337
1994/S2_a_1995/S1,1995/S2,PEG,TE,6,0.1358596290846208,0.0209100489668569,1,0,1,-0.03475308131838273
1994/S2_a_1995/S1,1995/S2,XEL,DUK,7,0.1369464038552905,0.0228223500465801,1,0,1,-0.029844717814204946
1994/S2_a_1995/S1,1995/S2,210967Q,GHC,8,0.1560173572182748,0.0248812067504967,3,2,1,-0.032299533275929604
1994/S2_a_1995/S1,1995/S2,DTE,WEC,9,0.15756674932652,0.0247492930117955,1,0,1,-0.05935010558512055
1994/S2_a_1995/S1,1995/S2,BMY,69895Q,10,0.160729398719468,0.0243097890761898,1,0,1,-0.12294042435674357
1994/S2_a_1995/S1,1995/S2,AYE,TE,11,0.1610226949142088,0.024927680726499,1,0,1,0.0019147708381671569
1994/S2_a_1995/S1,1995/S2,AIG,CIN,12,0.1712733060976461,0.0257872628715709,4,3,1,0.16584574246257644
1994/S2_a_1995/S1,1995/S2,2196Q,2676187Q,13,0.1741944120917651,0.0251533117637503,4,3,1,0.09134842030746204
1994/S2_a_1995/S1,1995/S2,UEP,WEC,14,0.1780579865727531,0.0263479520696753,2,1,1,0.06383103811006396
1994/S2_a_1995/S1,1995/S2,3277Q,2223Q,15,0.1787509760763441,0.0259716008912238,2,1,1,0.040854863816035425
1994/S2_a_1995/S1,1995/S2,NSC,TEG,16,0.1840134391546826,0.0248381424814395,1,1,0,0.0790129897876658
1994/S2_a_1995/S1,1995/S2,VZ,2428Q,17,0.1843883495283762,0.0270411199743378,2,2,0,0.15850800357455275
1994/S2_a_1995/S1,1995/S2,329556Q,NCC,18,0.1843966762552327,0.0252086087121078,4,3,1,0.20371819105030697
1994/S2_a_1995/S1,1995/S2,210967Q,41018Q,19,0.1854041064718785,0.0268249951900571,4,3,1,0.1906292975840863
1994/S2_a_1995/S1,1995/S2,SHW,41018Q,20,0.1866965080473619,0.0271209826159731,1,0,1,-0.058104253886680834
1995/S1_a_1995/S2,1996/S1,MHFI,SPGI,1,0.0266060859382832,0.010198926936932,13,13,0,0.37025788671653437
1995/S1_a_1995/S2,1996/S1,RRC,SWKS,2,0.0526827753407133,0.0072896058037363,1,0,1,-0.004244756713235098
1995/S1_a_1995/S2,1996/S1,UEP,FPC,3,0.0556170440564756,0.0123920939216131,3,3,0,0.10861927788789039
1995/S1_a_1995/S2,1996/S1,PEG,WEC,4,0.1106819202334463,0.0209836273181723,2,1,1,0.05350589479085466
1995/S1_a_1995/S2,1996/S1,TE,TEG,5,0.1121517475773998,0.0210577474266168,3,2,1,0.07886124859175159
1995/S1_a_1995/S2,1996/S1,CIN,AYE,6,0.1168274809159584,0.020959846783528,1,0,1,-0.011171285211001414
1995/S1_a_1995/S2,1996/S1,RTN_B,RRC,7,0.1284325689282468,0.0199713299714613,5,4,1,0.160831795961503
1995/S1_a_1995/S2,1996/S1,RTN,RRC,8,0.1284380778723743,0.0199710389641853,5,4,1,0.16083074091496508
1995/S1_a_1995/S2,1996/S1,8375930Q,COP,9,0.1296348918017429,0.0109039504274326,1,0,1,-0.007197196867040678
1995/S1_a_1995/S2,1996/S1,AEP,CMS,10,0.13699269564313,0.0197965883603992,2,2,0,0.07681207008876934
1995/S1_a_1995/S2,1996/S1,AEP,DUK,11,0.1447969051663449,0.0216851168342121,2,2,0,0.08057671702216918
1995/S1_a_1995/S2,1996/S1,DUK,TXU,12,0.1488081122761286,0.0242499431782643,2,2,0,0.09192252027841652
1995/S1_a_1995/S2,1996/S1,D,UEP,13,0.1524266768255984,0.01531294422279,3,2,1,0.07920010644379771
1995/S1_a_1995/S2,1996/S1,SO,TE,14,0.1574236524011212,0.0249529548290527,4,4,0,0.1781672582440159
1995/S1_a_1995/S2,1996/S1,EXC,SO,15,0.159990023596606,0.0250485642184007,1,0,1,-0.11308105166323135
1995/S1_a_1995/S2,1996/S1,XOM,3891289Q,16,0.1645308013854673,0.0212924813878112,1,0,1,-0.03380688096175333
1995/S1_a_1995/S2,1996/S1,DUK,CMS,17,0.1648694607389416,0.0255446733692038,2,2,0,0.09750696730235164
1995/S1_a_1995/S2,1996/S1,PEG,FPC,18,0.1768494383231882,0.0248822251538884,1,0,1,-0.06571088602679476
1995/S1_a_1995/S2,1996/S1,EQR,0574018D,19,0.1861583991459383,0.0257462059657625,2,1,1,0.08057402452683005
1995/S1_a_1995/S2,1996/S1,CIN,NI,20,0.1883556111050666,0.0222735647568836,2,1,1,0.0582665750025263
1995/S2_a_1996/S1,1996/S2,MHFI,SPGI,2,0.0298496130109242,0.0108622354850363,11,11,0,0.4246832061356982
1995/S2_a_1996/S1,1996/S2,D,TE,3,0.05032400700793,0.0140325538905555,4,4,0,0.14326058995089763
1995/S2_a_1996/S1,1996/S2,D,FPC,4,0.0821166308929832,0.015493736261636,2,2,0,0.07389005741817734
1995/S2_a_1996/S1,1996/S2,FPC,TEG,5,0.09010735396987,0.0183682663017279,1,0,1,-0.04809126099409722
1995/S2_a_1996/S1,1996/S2,FPC,NI,6,0.1052126557721067,0.0194357795561841,3,2,1,0.05538240517891291
1995/S2_a_1996/S1,1996/S2,D,TEG,7,0.1058452595132166,0.0199935683063747,2,1,1,0.016793575181422105
1995/S2_a_1996/S1,1996/S2,FPC,TE,8,0.1069537751732241,0.0173234719921456,2,2,0,0.07852346451163594
1995/S2_a_1996/S1,1996/S2,UEP,FPC,9,0.1123324311596434,0.0169231918844833,1,1,0,0.030916124317326488
1995/S2_a_1996/S1,1996/S2,GPUI,NI,10,0.1223225830797218,0.0213072886278939,2,1,1,0.06182561548157672
1995/S2_a_1996/S1,1996/S2,XOM,3891289Q,11,0.1272755683739888,0.0225168805524618,2,1,1,0.014863647056922669
1995/S2_a_1996/S1,1996/S2,TE,TEG,12,0.1330319972677216,0.022062219491136,1,0,1,-0.04454172037243587
1995/S2_a_1996/S1,1996/S2,NEE,CIN,13,0.1421741676421106,0.0232187444166963,3,2,1,0.06354244646294538
1995/S2_a_1996/S1,1996/S2,NI,TEG,14,0.1434344991358784,0.0238380618316238,1,0,1,-0.09154279300950796
1995/S2_a_1996/S1,1996/S2,AEP,CMS,15,0.1459441923441318,0.020622848771489,2,1,1,-0.016231882677594234
1995/S2_a_1996/S1,1996/S2,D,NI,16,0.148682900099061,0.0241655016047529,1,0,1,-0.025826154617259567
1995/S2_a_1996/S1,1996/S2,MCAI,RRC,17,0.1518315982140166,0.0123757203679594,4,3,1,0.11435774186237024
1995/S2_a_1996/S1,1996/S2,NI,TE,18,0.1531613350280167,0.0242336249752962,2,1,1,0.03728940117009516
1995/S2_a_1996/S1,1996/S2,NEE,PNW,19,0.154339429432639,0.0247523961051276,1,0,1,-0.026357778055511205
1995/S2_a_1996/S1,1996/S2,8375930Q,COP,20,0.1661202304427433,0.0137424728715632,1,0,1,-0.007675826429283994
1996/S1_a_1996/S2,1997/S1,MHFI,SPGI,1,0.0331135797847537,0.0113866099364021,19,18,1,0.6511439692570428
