date,SRCL
2016-02-03,117.2
2016-02-04,115.94
2016-02-05,111.12
2016-02-08,105.99
2016-02-09,106.03
2016-02-10,107.91
2016-02-11,106.05
2016-02-12,106.92
2016-02-16,109.47
2016-02-17,111.41
2016-02-18,111.54
2016-02-19,109.66
2016-02-22,111.24
2016-02-23,112.3
2016-02-24,113.14
2016-02-25,114.52
2016-02-26,115.54
2016-02-29,113.93
2016-03-01,117.95
2016-03-02,114.65
2016-03-03,115.55
2016-03-04,114.87
2016-03-07,114.71
2016-03-08,113.72
2016-03-09,114.09
2016-03-10,113.52
2016-03-11,116.01
2016-03-14,115.95
2016-03-15,118.46
2016-03-16,118.88
2016-03-17,120.69
2016-03-18,122.1
2016-03-21,123.0
2016-03-22,123.62
2016-03-23,123.81
2016-03-24,124.11
2016-03-28,124.34
2016-03-29,125.33
2016-03-30,125.68
2016-03-31,126.19
2016-04-01,127.63
2016-04-04,127.48
2016-04-05,126.8
2016-04-06,127.25
2016-04-07,127.24
2016-04-08,128.2
2016-04-11,126.1
2016-04-12,125.53
2016-04-13,126.34
2016-04-14,125.37
2016-04-15,125.42
2016-04-18,125.85
2016-04-19,125.37
2016-04-20,125.44
2016-04-21,123.71
2016-04-22,123.98
2016-04-25,122.8
2016-04-26,122.6
2016-04-27,122.99
2016-04-28,121.74
2016-04-29,95.56
2016-05-02,95.74
2016-05-03,94.55
2016-05-04,97.59
2016-05-05,95.1
2016-05-06,95.16
2016-05-09,96.01
2016-05-10,96.04
2016-05-11,94.51
2016-05-12,93.27
2016-05-13,93.7
2016-05-16,95.47
2016-05-17,97.67
2016-05-18,98.37
2016-05-19,97.3
2016-05-20,96.41
2016-05-23,96.11
2016-05-24,97.98
2016-05-25,97.47
2016-05-26,98.34
2016-05-27,97.57
2016-05-31,97.99
2016-06-01,98.56
2016-06-02,98.73
2016-06-03,98.55
2016-06-06,99.36
2016-06-07,102.0
2016-06-08,102.14
2016-06-09,100.86
2016-06-10,100.08
2016-06-13,100.37
2016-06-14,100.57
2016-06-15,101.21
2016-06-16,102.89
2016-06-17,101.48
2016-06-20,101.97
2016-06-21,101.41
2016-06-22,101.88
2016-06-23,103.38
2016-06-24,100.72
2016-06-27,99.17
2016-06-28,99.95
2016-06-29,101.98
2016-06-30,104.12
2016-07-01,104.33
2016-07-05,102.55
2016-07-06,102.82
2016-07-07,102.06
2016-07-08,104.7
2016-07-11,104.42
2016-07-12,105.21
2016-07-13,104.9
2016-07-14,106.19
2016-07-15,105.91
2016-07-18,105.86
2016-07-19,106.37
2016-07-20,106.52
2016-07-21,106.27
2016-07-22,107.25
2016-07-25,106.41
2016-07-26,107.08
2016-07-27,106.48
2016-07-28,105.93
2016-07-29,90.27
2016-08-01,89.37
2016-08-02,87.69
2016-08-03,87.99
2016-08-04,88.19
2016-08-05,89.94
2016-08-08,89.49
2016-08-09,87.67
2016-08-10,87.85
2016-08-11,86.96
2016-08-12,87.02
2016-08-15,87.04
2016-08-16,85.88
2016-08-17,85.56
2016-08-18,84.99
2016-08-19,85.13
2016-08-22,85.79
2016-08-23,85.35
2016-08-24,84.94
2016-08-25,84.71
2016-08-26,83.65
2016-08-29,84.68
2016-08-30,84.84
2016-08-31,85.98
2016-09-01,85.36
2016-09-02,84.15
2016-09-06,83.49
2016-09-07,82.79
2016-09-08,82.64
2016-09-09,82.07
2016-09-12,82.89
2016-09-13,82.14
2016-09-14,81.6
2016-09-15,81.76
2016-09-16,81.24
2016-09-19,78.0
2016-09-20,77.01
2016-09-21,78.0
2016-09-22,79.26
2016-09-23,79.54
2016-09-26,79.74
2016-09-27,80.26
2016-09-28,81.53
2016-09-29,80.5
2016-09-30,80.14
2016-10-03,79.76
2016-10-04,77.34
2016-10-05,76.58
2016-10-06,76.4
2016-10-07,75.1
2016-10-10,76.86
2016-10-11,76.16
2016-10-12,75.13
2016-10-13,74.38
2016-10-14,75.47
2016-10-17,74.19
2016-10-18,74.85
2016-10-19,75.05
2016-10-20,74.68
2016-10-21,74.78
2016-10-24,74.47
2016-10-25,75.9
2016-10-26,76.57
2016-10-27,73.96
2016-10-28,79.73
2016-10-31,80.09
2016-11-01,77.87
2016-11-02,76.03
2016-11-03,73.05
2016-11-04,72.64
2016-11-07,73.91
2016-11-08,74.23
2016-11-09,74.08
2016-11-10,74.72
2016-11-11,75.0
2016-11-14,74.88
2016-11-15,75.21
2016-11-16,74.89
2016-11-17,75.27
2016-11-18,76.09
2016-11-21,75.81
2016-11-22,75.63
2016-11-23,75.59
2016-11-25,76.77
2016-11-28,76.07
2016-11-29,75.83
2016-11-30,72.97
2016-12-01,73.44
2016-12-02,72.49
2016-12-05,71.61
2016-12-06,71.82
2016-12-07,72.0
2016-12-08,73.49
2016-12-09,74.37
2016-12-12,74.92
2016-12-13,76.28
2016-12-14,75.43
2016-12-15,77.5
2016-12-16,77.16
2016-12-19,77.12
2016-12-20,76.88
2016-12-21,76.51
2016-12-22,77.28
2016-12-23,77.46
2016-12-27,77.17
2016-12-28,76.11
2016-12-29,76.86
2016-12-30,77.04
2017-01-03,75.84
2017-01-04,77.84
2017-01-05,77.65
2017-01-06,79.38
2017-01-09,78.84
2017-01-10,78.04
2017-01-11,80.16
2017-01-12,79.53
2017-01-13,79.66
2017-01-17,80.63
2017-01-18,80.51
2017-01-19,79.96
2017-01-20,80.35
2017-01-23,79.92
2017-01-24,80.9
2017-01-25,81.51
2017-01-26,80.99
2017-01-27,77.58
2017-01-30,76.3
2017-01-31,77.14
2017-02-01,76.48
2017-02-02,76.8
2017-02-03,73.71
2017-02-06,75.31
2017-02-07,74.84
2017-02-08,75.45
2017-02-09,76.18
2017-02-10,76.77
2017-02-13,78.19
2017-02-14,77.56
2017-02-15,77.39
2017-02-16,83.35
2017-02-17,85.15
2017-02-21,85.76
2017-02-22,85.41
2017-02-23,84.69
2017-02-24,82.93
2017-02-27,83.42
2017-02-28,82.88
2017-03-01,82.64
2017-03-02,82.13
2017-03-03,80.73
2017-03-06,79.85
2017-03-07,80.86
2017-03-08,81.64
2017-03-09,81.76
2017-03-10,81.82
2017-03-13,82.23
2017-03-14,82.31
2017-03-15,83.03
2017-03-16,83.28
2017-03-17,84.15
2017-03-20,83.51
2017-03-21,82.38
2017-03-22,82.09
2017-03-23,82.04
2017-03-24,82.05
2017-03-27,81.61
2017-03-28,81.13
2017-03-29,80.65
2017-03-30,81.36
2017-03-31,82.89
2017-04-03,81.85
2017-04-04,81.07
2017-04-05,82.3
2017-04-06,82.51
2017-04-07,81.87
2017-04-10,82.57
2017-04-11,81.82
2017-04-12,81.27
2017-04-13,81.92
2017-04-17,82.95
2017-04-18,83.26
2017-04-19,83.82
2017-04-20,85.12
2017-04-21,85.56
2017-04-24,86.2
2017-04-25,86.79
2017-04-26,86.54
2017-04-27,85.63
2017-04-28,85.34
2017-05-01,85.98
2017-05-02,86.27
2017-05-03,85.59
2017-05-04,85.73
2017-05-05,87.0
2017-05-08,85.75
2017-05-09,86.27
2017-05-10,85.75
2017-05-11,84.98
2017-05-12,84.47
2017-05-15,84.14
2017-05-16,83.75
2017-05-17,83.32
2017-05-18,83.76
2017-05-19,83.56
2017-05-22,84.18
2017-05-23,83.05
2017-05-24,82.99
2017-05-25,83.35
2017-05-26,82.4
2017-05-30,81.48
2017-05-31,81.77
2017-06-01,84.19
2017-06-02,82.32
2017-06-05,81.16
2017-06-06,79.23
2017-06-07,80.48
2017-06-08,78.98
2017-06-09,79.01
2017-06-12,79.15
2017-06-13,78.7
2017-06-14,78.24
2017-06-15,78.17
2017-06-16,78.43
2017-06-19,79.07
2017-06-20,78.13
2017-06-21,76.34
2017-06-22,77.21
2017-06-23,76.88
2017-06-26,78.25
2017-06-27,77.24
2017-06-28,77.72
2017-06-29,77.22
2017-06-30,76.32
2017-07-03,76.37
2017-07-05,75.65
2017-07-06,75.23
2017-07-07,76.48
2017-07-10,75.39
2017-07-11,75.73
2017-07-12,75.65
2017-07-13,75.97
2017-07-14,76.3
2017-07-17,75.48
2017-07-18,75.89
2017-07-19,76.2
2017-07-20,76.65
2017-07-21,77.54
2017-07-24,76.41
2017-07-25,77.46
2017-07-26,76.55
2017-07-27,76.56
2017-07-28,75.93
2017-07-31,77.08
2017-08-01,77.06
2017-08-02,76.02
2017-08-03,82.76
2017-08-04,78.45
2017-08-07,78.66
2017-08-08,77.06
2017-08-09,75.06
2017-08-10,71.44
2017-08-11,71.03
2017-08-14,71.95
2017-08-15,72.07
2017-08-16,72.27
2017-08-17,71.05
2017-08-18,70.7
2017-08-21,71.3
2017-08-22,71.9
2017-08-23,70.91
2017-08-24,71.41
2017-08-25,71.72
2017-08-28,72.1
2017-08-29,72.02
2017-08-30,72.26
2017-08-31,71.89
2017-09-01,71.74
2017-09-05,70.34
2017-09-06,70.5
2017-09-07,69.0
2017-09-08,70.26
2017-09-11,70.95
2017-09-12,72.18
2017-09-13,72.13
2017-09-14,71.87
2017-09-15,72.12
2017-09-18,71.0
2017-09-19,70.19
2017-09-20,70.02
2017-09-21,69.97
2017-09-22,70.34
2017-09-25,70.73
2017-09-26,71.11
2017-09-27,71.9
2017-09-28,71.72
2017-09-29,71.62
2017-10-02,72.66
2017-10-03,71.82
2017-10-04,71.48
2017-10-05,71.64
2017-10-06,71.58
2017-10-09,70.27
2017-10-10,70.8
2017-10-11,70.71
2017-10-12,71.27
2017-10-13,70.6
2017-10-16,70.07
2017-10-17,71.27
2017-10-18,71.65
2017-10-19,71.9
2017-10-20,72.69
2017-10-23,72.64
2017-10-24,72.08
2017-10-25,71.4
2017-10-26,71.78
2017-10-27,71.0
2017-10-30,70.85
2017-10-31,70.85
2017-11-01,68.71
2017-11-02,67.92
2017-11-03,67.32
2017-11-06,67.26
2017-11-07,67.16
2017-11-08,67.1
2017-11-09,64.06
2017-11-10,64.02
2017-11-13,64.06
2017-11-14,63.54
2017-11-15,63.06
2017-11-16,62.68
2017-11-17,62.76
2017-11-20,62.5
2017-11-21,62.75
2017-11-22,62.82
2017-11-24,63.05
2017-11-27,63.36
2017-11-28,63.86
2017-11-29,65.29
2017-11-30,66.31
2017-12-01,66.94
2017-12-04,67.36
2017-12-05,66.5
2017-12-06,65.78
2017-12-07,66.95
2017-12-08,66.58
2017-12-11,67.17
2017-12-12,67.3
2017-12-13,66.04
2017-12-14,65.86
2017-12-15,66.88
2017-12-18,67.83
2017-12-19,67.78
2017-12-20,68.76
2017-12-21,68.83
2017-12-22,68.31
2017-12-26,67.84
2017-12-27,67.82
2017-12-28,67.87
2017-12-29,67.99
2018-01-02,68.56
2018-01-03,67.63
2018-01-04,70.85
2018-01-05,71.17
2018-01-08,70.76
2018-01-09,70.125
2018-01-10,70.27
2018-01-11,71.58
2018-01-12,71.6
2018-01-16,72.16
2018-01-17,72.2
2018-01-18,71.53
2018-01-19,72.0
2018-01-22,70.99
2018-01-23,70.56
2018-01-24,70.69
2018-01-25,70.48
2018-01-26,72.0
2018-01-29,73.01
2018-01-30,72.46
2018-01-31,75.36
2018-02-01,74.25
2018-02-02,73.38
2018-02-05,70.72
2018-02-06,71.31
2018-02-07,72.84
2018-02-08,70.55
2018-02-09,70.15
2018-02-12,71.37
2018-02-13,72.17
2018-02-14,74.29
2018-02-15,75.62
2018-02-16,76.02
2018-02-20,75.22
2018-02-21,74.91
2018-02-22,60.63
2018-02-23,60.05
2018-02-26,61.91
2018-02-27,62.54
2018-02-28,62.67
2018-03-01,62.04
2018-03-02,61.32
2018-03-05,63.0
2018-03-06,63.12
2018-03-07,63.76
2018-03-08,63.81
2018-03-09,64.67
2018-03-12,64.87
2018-03-13,64.62
2018-03-14,64.38
2018-03-15,63.31
2018-03-16,63.59
2018-03-19,62.97
2018-03-20,62.29
2018-03-21,61.69
2018-03-22,59.41
2018-03-23,58.49
2018-03-26,58.84
2018-03-27,58.94
2018-03-28,58.75
2018-03-29,58.53
2018-04-02,57.94
2018-04-03,57.93
2018-04-04,58.31
2018-04-05,58.57
2018-04-06,58.07
2018-04-09,57.11
2018-04-10,57.81
2018-04-11,58.15
2018-04-12,58.74
2018-04-13,58.99
2018-04-16,60.18
2018-04-17,60.48
2018-04-18,61.47
2018-04-19,60.85
2018-04-20,60.36
2018-04-23,60.99
2018-04-24,61.07
2018-04-25,60.8
2018-04-26,61.25
2018-04-27,61.1
2018-04-30,58.71
2018-05-01,58.69
2018-05-02,59.42
2018-05-03,59.08
2018-05-04,63.84
2018-05-07,63.95
2018-05-08,63.72
2018-05-09,64.01
2018-05-10,64.06
2018-05-11,64.25
2018-05-14,64.13
2018-05-15,63.87
2018-05-16,63.78
2018-05-17,63.82
2018-05-18,63.77
2018-05-21,63.86
2018-05-22,63.59
2018-05-23,63.45
2018-05-24,63.25
2018-05-25,63.3
2018-05-29,62.73
2018-05-30,64.31
2018-05-31,63.5
2018-06-01,64.06
2018-06-04,63.24
2018-06-05,63.07
2018-06-06,63.75
2018-06-07,64.17
2018-06-08,64.6
2018-06-11,64.43
2018-06-12,64.58
2018-06-13,63.74
2018-06-14,64.21
2018-06-15,64.09
2018-06-18,63.72
2018-06-19,63.21
2018-06-20,62.83
2018-06-21,63.17
2018-06-22,64.26
2018-06-25,64.8
2018-06-26,64.89
2018-06-27,63.65
2018-06-28,64.62
2018-06-29,65.29
2018-07-02,65.09
2018-07-03,64.99
2018-07-05,65.36
2018-07-06,65.96
2018-07-09,66.52
2018-07-10,66.81
2018-07-11,67.23
2018-07-12,68.35
2018-07-13,68.86
2018-07-16,67.82
2018-07-17,67.25
2018-07-18,67.45
2018-07-19,67.77
2018-07-20,68.25
2018-07-23,68.85
2018-07-24,69.15
2018-07-25,69.76
2018-07-26,70.44
2018-07-27,70.56
2018-07-30,69.43
2018-07-31,69.86
2018-08-01,70.62
2018-08-02,70.97
2018-08-03,61.655
2018-08-06,62.13
2018-08-07,62.38
2018-08-08,61.71
2018-08-09,61.58
2018-08-10,61.47
2018-08-13,60.01
2018-08-14,60.46
2018-08-15,60.93
2018-08-16,61.47
2018-08-17,61.42
2018-08-20,61.68
2018-08-21,62.19
2018-08-22,61.34
2018-08-23,61.4
2018-08-24,61.32
2018-08-27,61.78
2018-08-28,62.25
2018-08-29,62.19
2018-08-30,61.71
2018-08-31,61.69
2018-09-04,62.14
2018-09-05,61.87
2018-09-06,61.95
2018-09-07,61.82
2018-09-10,61.92
2018-09-11,61.26
2018-09-12,61.22
2018-09-13,60.92
2018-09-14,61.87
2018-09-17,61.69
2018-09-18,62.36
2018-09-19,61.97
2018-09-20,61.72
2018-09-21,61.49
2018-09-24,60.55
2018-09-25,60.69
2018-09-26,60.34
2018-09-27,58.41
2018-09-28,58.68
2018-10-01,57.39
2018-10-02,56.09
2018-10-03,55.8
2018-10-04,54.51
2018-10-05,54.42
2018-10-08,54.04
2018-10-09,54.12
2018-10-10,54.01
2018-10-11,52.99
2018-10-12,52.55
2018-10-15,52.52
2018-10-16,53.75
2018-10-17,53.75
2018-10-18,53.12
2018-10-19,53.05
2018-10-22,52.14
2018-10-23,50.53
2018-10-24,48.94
2018-10-25,49.52
2018-10-26,48.81
2018-10-29,49.14
2018-10-30,49.09
2018-10-31,49.97
2018-11-01,50.78
2018-11-02,47.31
2018-11-05,46.77
2018-11-06,46.8
2018-11-07,48.56
2018-11-08,47.86
2018-11-09,47.66
2018-11-12,47.05
2018-11-13,45.29
2018-11-14,45.45
2018-11-15,46.06
2018-11-16,46.04
2018-11-19,46.19
2018-11-20,44.79
2018-11-21,44.95
2018-11-23,45.62
2018-11-26,46.15
2018-11-27,46.37
2018-11-28,47.59
2018-11-29,48.21
2018-11-30,48.07
2018-12-03,47.52
2018-12-04,46.44
2018-12-06,45.18
2018-12-07,43.93
2018-12-10,42.31
2018-12-11,42.11
2018-12-12,41.79
2018-12-13,40.89
2018-12-14,40.4
2018-12-17,39.1
2018-12-18,38.88
2018-12-19,38.66
2018-12-20,37.86
2018-12-21,36.8
2018-12-24,35.19
2018-12-26,36.36
2018-12-27,36.72
2018-12-28,36.6
2018-12-31,36.69
2019-01-02,36.87
2019-01-03,37.17
2019-01-04,37.55
2019-01-07,38.1
2019-01-08,38.36
2019-01-09,38.77
2019-01-10,39.45
2019-01-11,39.54
2019-01-14,39.82
2019-01-15,40.15
2019-01-16,40.55
2019-01-17,40.94
2019-01-18,41.77
2019-01-22,42.04
2019-01-23,42.78
2019-01-24,43.22
2019-01-25,43.49
2019-01-28,43.27
2019-01-29,43.61
2019-01-30,44.23
2019-01-31,44.08
2019-02-01,44.01
2019-02-04,44.74
2019-02-05,45.0
2019-02-06,45.05
2019-02-07,44.27
2019-02-08,44.98
2019-02-11,44.58
2019-02-12,45.54
2019-02-13,44.96
2019-02-14,45.03
2019-02-15,45.56
2019-02-19,45.2
2019-02-20,45.84
2019-02-21,45.05
2019-02-22,45.42
2019-02-25,45.24
2019-02-26,44.53
2019-02-27,44.95
2019-02-28,44.58
2019-03-01,51.63
2019-03-04,50.13
2019-03-05,48.81
2019-03-06,47.67
2019-03-07,47.65
2019-03-08,47.94
2019-03-11,48.0
2019-03-12,48.59
2019-03-13,49.28
2019-03-14,49.2
2019-03-15,49.36
2019-03-18,49.25
2019-03-19,49.06
2019-03-20,48.58
2019-03-21,50.15
2019-03-22,50.49
2019-03-25,51.72
2019-03-26,52.81
2019-03-27,52.93
2019-03-28,53.39
2019-03-29,54.42
2019-04-01,55.14
2019-04-02,56.48
2019-04-03,56.95
2019-04-04,57.41
2019-04-05,57.92
2019-04-08,57.46
2019-04-09,56.4
2019-04-10,57.0
2019-04-11,56.99
2019-04-12,57.12
2019-04-15,57.6
2019-04-16,56.69
2019-04-17,57.12
2019-04-18,56.04
2019-04-22,56.2
2019-04-23,57.16
2019-04-24,57.75
2019-04-25,56.77
2019-04-26,57.83
2019-04-29,58.17
2019-04-30,58.39
2019-05-01,56.95
2019-05-02,57.25
2019-05-03,52.01
2019-05-06,51.8
2019-05-07,49.62
2019-05-08,49.23
2019-05-09,48.79
2019-05-10,50.18
2019-05-13,48.93
2019-05-14,49.37
2019-05-15,48.79
2019-05-16,48.79
2019-05-17,48.34
2019-05-20,48.05
2019-05-21,48.91
2019-05-22,48.0
2019-05-23,46.73
2019-05-24,46.63
2019-05-28,46.01
2019-05-29,45.63
2019-05-30,45.37
2019-05-31,46.38
2019-06-03,46.73
2019-06-04,47.47
2019-06-05,46.71
2019-06-06,46.25
2019-06-07,45.37
2019-06-10,44.45
2019-06-11,44.98
2019-06-12,44.89
2019-06-13,45.67
2019-06-14,45.24
2019-06-17,45.91
2019-06-18,45.5
2019-06-19,45.69
2019-06-20,46.99
2019-06-21,46.74
2019-06-24,46.74
2019-06-25,46.89
2019-06-26,46.79
2019-06-27,47.76
2019-06-28,47.75
2019-07-01,46.96
2019-07-02,46.85
2019-07-03,48.04
2019-07-05,48.04
2019-07-08,47.1
2019-07-09,46.23
2019-07-10,46.15
2019-07-11,45.57
2019-07-12,45.88
2019-07-15,46.11
2019-07-16,45.95
2019-07-17,44.0
2019-07-18,44.37
2019-07-19,45.61
2019-07-22,45.7
2019-07-23,46.6
2019-07-24,47.24
2019-07-25,45.94
2019-07-26,46.93
2019-07-29,45.7
2019-07-30,46.66
2019-07-31,45.96
2019-08-01,44.51
2019-08-02,45.43
2019-08-05,43.86
2019-08-06,43.54
2019-08-07,44.03
2019-08-08,45.36
2019-08-09,44.77
2019-08-12,43.36
2019-08-13,43.7
2019-08-14,43.34
2019-08-15,43.71
2019-08-16,44.99
2019-08-19,45.84
2019-08-20,44.63
2019-08-21,44.82
2019-08-22,44.53
2019-08-23,42.84
2019-08-26,43.54
2019-08-27,44.07
2019-08-28,45.16
2019-08-29,44.95
2019-08-30,44.89
2019-09-03,44.51
2019-09-04,46.68
2019-09-05,46.39
2019-09-06,45.98
2019-09-09,47.34
2019-09-10,48.77
2019-09-11,51.12
2019-09-12,52.51
2019-09-13,50.99
2019-09-16,52.14
2019-09-17,50.62
2019-09-18,50.62
2019-09-19,49.87
2019-09-20,50.33
2019-09-23,50.07
2019-09-24,48.99
2019-09-25,48.67
2019-09-26,48.53
2019-09-27,49.12
2019-09-30,50.93
2019-10-01,49.56
2019-10-02,49.73
2019-10-03,49.37
2019-10-04,49.79
2019-10-07,49.01
2019-10-08,48.47
2019-10-09,49.19
2019-10-10,49.5
2019-10-11,50.99
2019-10-14,50.79
2019-10-15,50.98
2019-10-16,51.94
2019-10-17,53.25
2019-10-18,54.135
2019-10-21,53.96
2019-10-22,53.77
2019-10-23,53.65
2019-10-24,53.09
2019-10-25,53.76
2019-10-28,54.17
2019-10-29,53.44
2019-10-30,53.49
2019-10-31,57.6
2019-11-01,58.64
2019-11-04,60.3
2019-11-05,61.28
2019-11-06,62.17
2019-11-07,62.39
2019-11-08,62.39
2019-11-11,61.81
2019-11-12,61.6
2019-11-13,61.41
2019-11-14,61.22
2019-11-15,61.59
2019-11-18,61.3
2019-11-19,61.34
2019-11-20,61.74
2019-11-21,62.47
2019-11-22,64.09
2019-11-25,63.56
2019-11-26,62.88
2019-11-27,63.76
2019-11-29,62.82
2019-12-02,63.38
2019-12-03,63.71
2019-12-04,64.49
2019-12-05,64.93
2019-12-06,65.71
2019-12-09,65.87
2019-12-10,66.05
2019-12-11,65.61
2019-12-12,65.75
2019-12-13,64.03
2019-12-16,64.19
2019-12-17,63.84
2019-12-18,62.65
2019-12-19,63.27
2019-12-20,63.6
2019-12-23,64.35
2019-12-24,63.96
2019-12-26,64.39
2019-12-27,64.04
2019-12-30,64.22
2019-12-31,63.81
2020-01-02,62.66
2020-01-03,61.97
2020-01-06,62.51
2020-01-07,62.63
2020-01-08,61.86
2020-01-09,61.87
2020-01-10,61.52
2020-01-13,62.1
2020-01-14,62.01
2020-01-15,62.32
2020-01-16,63.89
2020-01-17,63.35
2020-01-21,62.6
2020-01-22,63.21
2020-01-23,63.13
2020-01-24,62.78
2020-01-27,62.9
2020-01-28,63.54
2020-01-29,63.45
2020-01-30,64.37
2020-01-31,62.68
2020-02-03,63.38
2020-02-04,63.5
2020-02-05,64.95
2020-02-06,65.69
2020-02-07,64.45
2020-02-10,61.44
2020-02-11,61.51
2020-02-12,63.32
2020-02-13,63.48
2020-02-14,64.48
2020-02-18,64.12
2020-02-19,65.27
2020-02-20,65.78
2020-02-21,65.31
2020-02-24,65.43
2020-02-25,63.33
2020-02-26,61.73
2020-02-27,61.43
2020-02-28,57.43
2020-03-02,63.6
2020-03-03,62.7
2020-03-04,64.87
2020-03-05,60.85
2020-03-06,60.06
2020-03-09,54.8
2020-03-10,55.46
2020-03-11,51.56
2020-03-12,49.06
2020-03-13,53.96
2020-03-16,46.39
2020-03-17,55.8
2020-03-18,49.48
2020-03-19,48.85
2020-03-20,44.68
2020-03-23,40.69
2020-03-24,41.2
2020-03-25,42.24
2020-03-26,43.15
2020-03-27,42.01
2020-03-30,48.57
2020-03-31,48.58
2020-04-01,46.47
2020-04-02,44.83
2020-04-03,42.68
2020-04-06,43.81
2020-04-07,44.83
2020-04-08,47.93
2020-04-09,50.72
2020-04-13,49.91
2020-04-14,50.34
2020-04-15,47.47
2020-04-16,47.8
2020-04-17,48.59
2020-04-20,47.03
2020-04-21,44.59
2020-04-22,45.45
2020-04-23,46.82
2020-04-24,46.56
2020-04-27,49.8
2020-04-28,49.84
2020-04-29,51.25
2020-04-30,48.8
2020-05-01,46.31
2020-05-04,46.14
2020-05-05,47.98
2020-05-06,47.0
2020-05-07,50.79
2020-05-08,52.36
2020-05-11,51.85
2020-05-12,51.0
2020-05-13,47.38
2020-05-14,48.32
2020-05-15,48.0
2020-05-18,51.62
2020-05-19,51.24
2020-05-20,52.23
2020-05-21,51.25
2020-05-22,51.09
2020-05-26,53.55
2020-05-27,54.26
2020-05-28,55.15
2020-05-29,54.83
2020-06-01,55.08
2020-06-02,55.74
2020-06-03,59.47
2020-06-04,60.8
2020-06-05,63.4
2020-06-08,63.45
2020-06-09,63.2
2020-06-10,60.3
2020-06-11,56.51
2020-06-12,56.75
2020-06-15,57.65
2020-06-16,59.13
2020-06-17,58.6
2020-06-18,57.1
2020-06-19,56.78
2020-06-22,56.63
2020-06-23,57.35
2020-06-24,54.95
2020-06-25,55.55
2020-06-26,54.73
2020-06-29,55.26
2020-06-30,55.98
2020-07-01,54.96
2020-07-02,55.5
2020-07-06,55.73
2020-07-07,55.21
2020-07-08,54.34
2020-07-09,52.44
2020-07-10,54.37
2020-07-13,54.0
2020-07-14,55.58
2020-07-15,58.17
2020-07-16,58.38
2020-07-17,58.68
