Date,WST
2020-06-11,203.77000427246094
2020-06-12,200.72999572753906
2020-06-15,209.3699951171875
2020-06-16,210.47999572753906
2020-06-17,211.25
2020-06-18,212.64999389648438
2020-06-19,216.58999633789062
2020-06-22,217.8000030517578
2020-06-23,217.5399932861328
2020-06-24,216.50999450683594
2020-06-25,223.36000061035156
2020-06-26,222.4499969482422
2020-06-29,220.1300048828125
2020-06-30,227.1699981689453
2020-07-01,224.99000549316406
2020-07-02,229.72999572753906
2020-07-06,234.14999389648438
2020-07-07,230.82000732421875
2020-07-08,232.3000030517578
2020-07-09,235.92999267578125
2020-07-10,232.22999572753906
2020-07-13,229.0399932861328
2020-07-14,233.27999877929688
2020-07-15,241.22000122070312
2020-07-16,240.36000061035156
2020-07-17,246.94000244140625
2020-07-20,251.83999633789062
2020-07-21,252.86000061035156
2020-07-22,255.3699951171875
2020-07-23,262.05999755859375
2020-07-24,262.6600036621094
2020-07-27,267.0299987792969
2020-07-28,264.29998779296875
2020-07-29,269.6199951171875
2020-07-30,268.9599914550781
2020-07-31,268.8699951171875
2020-08-03,278.6400146484375
2020-08-04,274.44000244140625
2020-08-05,274.6499938964844
2020-08-06,273.8900146484375
2020-08-07,273.54998779296875
2020-08-10,266.3800048828125
2020-08-11,264.54998779296875
2020-08-12,272.44000244140625
2020-08-13,275.1600036621094
2020-08-14,272.4700012207031
2020-08-17,274.989990234375
2020-08-18,275.30999755859375
2020-08-19,274.9200134277344
2020-08-20,275.4700012207031
2020-08-21,271.4800109863281
2020-08-24,269.6700134277344
2020-08-25,274.6000061035156
2020-08-26,274.1099853515625
2020-08-27,273.9200134277344
2020-08-28,271.5899963378906
2020-08-31,283.9599914550781
2020-09-01,281.75
2020-09-02,288.0199890136719
2020-09-03,267.29998779296875
2020-09-04,263.6600036621094
2020-09-08,262.6199951171875
2020-09-09,272.57000732421875
2020-09-10,275.3800048828125
2020-09-11,272.4100036621094
2020-09-14,277.8699951171875
2020-09-15,284.3800048828125
2020-09-16,281.2799987792969
2020-09-17,274.9599914550781
2020-09-18,277.7300109863281
2020-09-21,276.8399963378906
2020-09-22,277.0400085449219
2020-09-23,268.29998779296875
2020-09-24,263.6400146484375
2020-09-25,269.510009765625
2020-09-28,272.3900146484375
2020-09-29,273.6499938964844
2020-09-30,274.8999938964844
2020-10-01,275.7900085449219
2020-10-02,273.8500061035156
2020-10-05,287.6400146484375
2020-10-06,290.3299865722656
2020-10-07,292.7099914550781
2020-10-08,291.260009765625
2020-10-09,298.2799987792969
2020-10-12,301.6600036621094
2020-10-13,299.4800109863281
2020-10-14,288.1499938964844
2020-10-15,291.3699951171875
2020-10-16,292.05999755859375
2020-10-19,286.05999755859375
2020-10-20,286.9800109863281
2020-10-21,284.4200134277344
2020-10-22,279.4100036621094
2020-10-23,281.92999267578125
2020-10-26,280.1099853515625
2020-10-27,286.07000732421875
2020-10-28,280.239990234375
2020-10-29,275.2300109863281
2020-10-30,272.07000732421875
2020-11-02,271.3999938964844
2020-11-03,277.0299987792969
2020-11-04,289.7900085449219
2020-11-05,295.0199890136719
2020-11-06,295.79998779296875
2020-11-09,286.5400085449219
2020-11-10,279.4200134277344
2020-11-11,285.07000732421875
2020-11-12,289.5899963378906
2020-11-13,290.9700012207031
2020-11-16,292.010009765625
2020-11-17,286.7900085449219
2020-11-18,281.2900085449219
2020-11-19,281.2200012207031
2020-11-20,284.7300109863281
2020-11-23,275.7200012207031
2020-11-24,267.7099914550781
2020-11-25,269.20001220703125
2020-11-27,277.9599914550781
2020-11-30,275.1600036621094
2020-12-01,272.010009765625
2020-12-02,275.3900146484375
2020-12-03,272.239990234375
2020-12-04,271.54998779296875
2020-12-07,268.05999755859375
2020-12-08,267.2799987792969
2020-12-09,261.1600036621094
2020-12-10,266.6700134277344
2020-12-11,263.9800109863281
2020-12-14,264.9200134277344
2020-12-15,267.17999267578125
2020-12-16,267.6199951171875
2020-12-17,273.5799865722656
2020-12-18,277.6600036621094
2020-12-21,276.0899963378906
2020-12-22,282.9100036621094
2020-12-23,281.42999267578125
2020-12-24,282.9599914550781
2020-12-28,277.5299987792969
2020-12-29,278.3399963378906
2020-12-30,279.94000244140625
2020-12-31,283.30999755859375
2021-01-04,285.57000732421875
2021-01-05,291.0199890136719
2021-01-06,294.1400146484375
2021-01-07,304.05999755859375
2021-01-08,307.5299987792969
2021-01-11,302.4100036621094
2021-01-12,298.489990234375
2021-01-13,298.0
2021-01-14,298.7200012207031
2021-01-15,299.4100036621094
2021-01-19,300.1199951171875
2021-01-20,305.04998779296875
2021-01-21,299.67999267578125
2021-01-22,300.0899963378906
2021-01-25,300.260009765625
2021-01-26,299.67999267578125
2021-01-27,293.2300109863281
2021-01-28,298.9200134277344
2021-01-29,299.489990234375
2021-02-01,297.0199890136719
2021-02-02,294.6000061035156
2021-02-03,292.0799865722656
2021-02-04,290.25
2021-02-05,291.3500061035156
2021-02-08,294.4599914550781
2021-02-09,289.8900146484375
2021-02-10,292.2900085449219
2021-02-11,291.0899963378906
2021-02-12,294.010009765625
2021-02-16,295.6099853515625
2021-02-17,293.989990234375
2021-02-18,296.739990234375
2021-02-19,281.54998779296875
2021-02-22,272.6499938964844
2021-02-23,274.2900085449219
2021-02-24,278.9200134277344
2021-02-25,277.67999267578125
2021-02-26,280.6499938964844
2021-03-01,282.989990234375
2021-03-02,278.1000061035156
2021-03-03,267.6199951171875
2021-03-04,257.2900085449219
2021-03-05,262.3999938964844
2021-03-08,261.3500061035156
2021-03-09,267.4200134277344
2021-03-10,267.7300109863281
2021-03-11,272.8900146484375
2021-03-12,274.1199951171875
2021-03-15,276.0199890136719
2021-03-16,274.1700134277344
2021-03-17,274.5899963378906
2021-03-18,268.95001220703125
2021-03-19,277.1499938964844
2021-03-22,282.489990234375
2021-03-23,283.25
2021-03-24,278.0799865722656
2021-03-25,275.45001220703125
2021-03-26,280.30999755859375
2021-03-29,280.510009765625
2021-03-30,278.3399963378906
2021-03-31,281.7799987792969
2021-04-01,284.7699890136719
2021-04-05,289.55999755859375
2021-04-06,291.2799987792969
2021-04-07,289.17999267578125
2021-04-08,291.8800048828125
2021-04-09,296.5199890136719
2021-04-12,296.94000244140625
2021-04-13,306.45001220703125
2021-04-14,300.05999755859375
2021-04-15,310.95001220703125
2021-04-16,313.8299865722656
2021-04-19,316.7900085449219
2021-04-20,319.19000244140625
2021-04-21,323.8299865722656
2021-04-22,321.8399963378906
2021-04-23,323.67999267578125
2021-04-26,322.4100036621094
2021-04-27,320.3500061035156
2021-04-28,322.2200012207031
2021-04-29,324.54998779296875
2021-04-30,328.5199890136719
2021-05-03,329.8800048828125
2021-05-04,329.20001220703125
2021-05-05,328.6000061035156
2021-05-06,329.4200134277344
2021-05-07,333.67999267578125
2021-05-10,333.7300109863281
2021-05-11,335.2200012207031
2021-05-12,324.79998779296875
2021-05-13,328.29998779296875
2021-05-14,333.07000732421875
2021-05-17,326.70001220703125
2021-05-18,326.8699951171875
2021-05-19,325.8699951171875
2021-05-20,332.7900085449219
2021-05-21,333.45001220703125
2021-05-24,339.5199890136719
2021-05-25,345.3599853515625
2021-05-26,344.3900146484375
2021-05-27,344.70001220703125
2021-05-28,347.510009765625
2021-06-01,340.1600036621094
2021-06-02,333.7699890136719
2021-06-03,332.7699890136719
2021-06-04,333.42999267578125
2021-06-07,333.32000732421875
2021-06-08,330.29998779296875
2021-06-09,335.92999267578125
2021-06-10,343.7799987792969
2021-06-11,345.3299865722656
2021-06-14,345.1400146484375
2021-06-15,344.8399963378906
2021-06-16,346.1099853515625
2021-06-17,352.0299987792969
2021-06-18,352.2900085449219
2021-06-21,357.5899963378906
2021-06-22,360.0899963378906
2021-06-23,358.70001220703125
2021-06-24,359.5400085449219
2021-06-25,360.05999755859375
2021-06-28,363.20001220703125
2021-06-29,360.0
2021-06-30,359.1000061035156
2021-07-01,363.010009765625
2021-07-02,365.739990234375
2021-07-06,368.989990234375
2021-07-07,372.6600036621094
2021-07-08,373.1099853515625
2021-07-09,374.19000244140625
2021-07-12,375.989990234375
2021-07-13,372.6499938964844
2021-07-14,371.44000244140625
2021-07-15,371.9599914550781
2021-07-16,373.6600036621094
2021-07-19,371.0
2021-07-20,372.69000244140625
2021-07-21,367.95001220703125
2021-07-22,373.9800109863281
2021-07-23,381.07000732421875
2021-07-26,377.510009765625
2021-07-27,378.3800048828125
2021-07-28,384.010009765625
2021-07-29,404.9200134277344
2021-07-30,411.7300109863281
2021-08-02,415.2300109863281
2021-08-03,422.19000244140625
2021-08-04,428.1400146484375
2021-08-05,425.6600036621094
2021-08-06,427.489990234375
2021-08-09,429.010009765625
2021-08-10,425.010009765625
2021-08-11,422.80999755859375
2021-08-12,429.7200012207031
2021-08-13,434.2799987792969
2021-08-16,441.6099853515625
2021-08-17,441.8500061035156
2021-08-18,442.2200012207031
2021-08-19,446.9599914550781
2021-08-20,449.510009765625
2021-08-23,446.57000732421875
2021-08-24,445.8800048828125
2021-08-25,444.5199890136719
2021-08-26,446.70001220703125
2021-08-27,446.9599914550781
2021-08-30,451.69000244140625
2021-08-31,451.6199951171875
2021-09-01,453.1199951171875
2021-09-02,459.0
2021-09-03,464.3800048828125
2021-09-07,461.8599853515625
2021-09-08,468.4700012207031
2021-09-09,461.239990234375
2021-09-10,459.0299987792969
2021-09-13,442.2099914550781
2021-09-14,452.05999755859375
2021-09-15,452.489990234375
2021-09-16,454.4700012207031
2021-09-17,448.6199951171875
2021-09-20,444.6499938964844
2021-09-21,448.1199951171875
2021-09-22,449.17999267578125
2021-09-23,455.2200012207031
2021-09-24,457.1099853515625
2021-09-27,441.5899963378906
2021-09-28,427.42999267578125
2021-09-29,432.4100036621094
2021-09-30,424.5400085449219
2021-10-01,419.7300109863281
2021-10-04,409.82000732421875
2021-10-05,413.4800109863281
2021-10-06,413.2900085449219
2021-10-07,417.7200012207031
2021-10-08,407.1400146484375
2021-10-11,403.57000732421875
2021-10-12,403.20001220703125
2021-10-13,402.25
2021-10-14,407.42999267578125
2021-10-15,404.80999755859375
2021-10-18,408.7200012207031
2021-10-19,417.57000732421875
2021-10-20,414.6000061035156
2021-10-21,422.2300109863281
2021-10-22,421.19000244140625
2021-10-25,417.42999267578125
2021-10-26,420.29998779296875
2021-10-27,421.3399963378906
2021-10-28,421.1300048828125
2021-10-29,429.8800048828125
2021-11-01,426.739990234375
2021-11-02,438.0299987792969
2021-11-03,438.2099914550781
2021-11-04,433.07000732421875
2021-11-05,403.7799987792969
2021-11-08,413.2699890136719
2021-11-09,414.1099853515625
2021-11-10,409.4800109863281
2021-11-11,416.8800048828125
2021-11-12,419.2099914550781
2021-11-15,422.4599914550781
2021-11-16,442.2300109863281
2021-11-17,444.6600036621094
2021-11-18,449.3599853515625
2021-11-19,448.45001220703125
2021-11-22,437.67999267578125
2021-11-23,430.69000244140625
2021-11-24,433.7200012207031
2021-11-26,438.8800048828125
2021-11-29,447.3800048828125
2021-11-30,442.6600036621094
2021-12-01,435.4100036621094
2021-12-02,437.3900146484375
2021-12-03,434.1300048828125
2021-12-06,423.5799865722656
2021-12-07,429.9700012207031
2021-12-08,435.510009765625
2021-12-09,429.19000244140625
2021-12-10,431.57000732421875
2021-12-13,440.9100036621094
2021-12-14,428.69000244140625
2021-12-15,443.5199890136719
2021-12-16,444.82000732421875
2021-12-17,449.80999755859375
2021-12-20,439.0299987792969
2021-12-21,444.5199890136719
2021-12-22,453.6099853515625
2021-12-23,459.8399963378906
2021-12-27,465.8900146484375
2021-12-28,464.8699951171875
2021-12-29,467.989990234375
2021-12-30,471.3399963378906
2021-12-31,469.010009765625
2022-01-03,445.9200134277344
2022-01-04,429.0
2022-01-05,403.9700012207031
2022-01-06,407.739990234375
2022-01-07,390.4700012207031
2022-01-10,392.57000732421875
2022-01-11,399.489990234375
2022-01-12,401.2699890136719
2022-01-13,380.7799987792969
2022-01-14,379.7799987792969
2022-01-18,372.1600036621094
2022-01-19,375.45001220703125
2022-01-20,373.5899963378906
2022-01-21,367.79998779296875
2022-01-24,383.5199890136719
2022-01-25,378.3599853515625
2022-01-26,378.57000732421875
2022-01-27,383.8599853515625
2022-01-28,393.0299987792969
2022-01-31,393.2200012207031
2022-02-01,397.239990234375
2022-02-02,408.7300109863281
2022-02-03,402.1499938964844
2022-02-04,400.75
2022-02-07,400.7200012207031
2022-02-08,400.69000244140625
2022-02-09,408.7799987792969
2022-02-10,399.54998779296875
2022-02-11,391.20001220703125
2022-02-14,383.67999267578125
2022-02-15,385.3699951171875
2022-02-16,379.32000732421875
2022-02-17,387.29998779296875
2022-02-18,369.489990234375
2022-02-22,369.1300048828125
2022-02-23,357.489990234375
2022-02-24,378.3800048828125
2022-02-25,386.4700012207031
2022-02-28,387.0799865722656
2022-03-01,381.5799865722656
2022-03-02,384.67999267578125
2022-03-03,391.239990234375
2022-03-04,387.19000244140625
2022-03-07,372.8800048828125
2022-03-08,358.6499938964844
2022-03-09,372.3999938964844
2022-03-10,371.4700012207031
2022-03-11,363.2099914550781
2022-03-14,370.0199890136719
2022-03-15,385.42999267578125
2022-03-16,396.760009765625
2022-03-17,405.239990234375
2022-03-18,414.69000244140625
2022-03-21,412.6499938964844
2022-03-22,413.4700012207031
2022-03-23,403.1400146484375
2022-03-24,408.45001220703125
2022-03-25,405.239990234375
2022-03-28,406.6499938964844
2022-03-29,414.1199951171875
2022-03-30,418.010009765625
2022-03-31,410.7099914550781
2022-04-01,417.0299987792969
2022-04-04,409.0299987792969
2022-04-05,408.6400146484375
2022-04-06,409.45001220703125
2022-04-07,420.45001220703125
2022-04-08,413.5799865722656
2022-04-11,398.5
2022-04-12,384.54998779296875
2022-04-13,387.0199890136719
2022-04-14,381.2200012207031
2022-04-18,372.4200134277344
2022-04-19,371.0
2022-04-20,371.75
2022-04-21,365.1400146484375
2022-04-22,349.7699890136719
2022-04-25,348.95001220703125
2022-04-26,332.3900146484375
2022-04-27,332.3599853515625
2022-04-28,325.3599853515625
2022-04-29,315.05999755859375
2022-05-02,312.25
2022-05-03,306.45001220703125
2022-05-04,318.44000244140625
2022-05-05,314.760009765625
2022-05-06,306.3399963378906
2022-05-09,296.82000732421875
2022-05-10,296.260009765625
2022-05-11,290.79998779296875
2022-05-12,295.989990234375
2022-05-13,304.9700012207031
2022-05-16,303.3699951171875
2022-05-17,304.9200134277344
2022-05-18,294.010009765625
2022-05-19,302.2099914550781
2022-05-20,300.67999267578125
2022-05-23,303.3399963378906
2022-05-24,300.7200012207031
2022-05-25,298.7900085449219
2022-05-26,305.4599914550781
2022-05-27,321.2099914550781
2022-05-31,310.3800048828125
2022-06-01,308.5799865722656
2022-06-02,317.989990234375
2022-06-03,309.8800048828125
2022-06-06,309.0299987792969
2022-06-07,316.3599853515625
2022-06-08,312.010009765625
2022-06-09,304.5400085449219
2022-06-10,293.510009765625
2022-06-13,283.8699951171875
2022-06-14,280.6099853515625
2022-06-15,289.8900146484375
2022-06-16,282.69000244140625
2022-06-17,282.82000732421875
2022-06-21,288.5299987792969
2022-06-22,288.8299865722656
2022-06-23,298.8999938964844
2022-06-24,301.17999267578125
2022-06-27,304.82000732421875
2022-06-28,296.4599914550781
2022-06-29,299.5199890136719
2022-06-30,302.3699951171875
2022-07-01,307.739990234375
2022-07-05,306.05999755859375
2022-07-06,315.54998779296875
2022-07-07,320.260009765625
2022-07-08,318.4800109863281
2022-07-11,315.94000244140625
2022-07-12,296.7699890136719
2022-07-13,300.0
2022-07-14,294.3699951171875
2022-07-15,300.44000244140625
2022-07-18,291.9800109863281
2022-07-19,300.19000244140625
2022-07-20,303.4100036621094
2022-07-21,316.6000061035156
2022-07-22,313.6400146484375
2022-07-25,313.510009765625
2022-07-26,313.3599853515625
2022-07-27,320.5199890136719
2022-07-28,339.9200134277344
2022-07-29,343.55999755859375
2022-08-01,339.0400085449219
2022-08-02,339.1000061035156
2022-08-03,343.6499938964844
2022-08-04,340.4800109863281
2022-08-05,341.70001220703125
2022-08-08,339.3599853515625
2022-08-09,329.489990234375
2022-08-10,338.8399963378906
2022-08-11,337.75
2022-08-12,340.9800109863281
2022-08-15,340.82000732421875
2022-08-16,333.92999267578125
2022-08-17,328.25
2022-08-18,321.7900085449219
2022-08-19,319.5199890136719
2022-08-22,311.4700012207031
2022-08-23,309.7099914550781
2022-08-24,310.5799865722656
2022-08-25,314.67999267578125
2022-08-26,303.7699890136719
2022-08-29,301.57000732421875
2022-08-30,296.4200134277344
2022-08-31,296.69000244140625
2022-09-01,296.1000061035156
2022-09-02,291.3500061035156
2022-09-06,291.0
2022-09-07,298.79998779296875
2022-09-08,308.1300048828125
2022-09-09,313.510009765625
2022-09-12,312.8699951171875
2022-09-13,292.9599914550781
2022-09-14,290.82000732421875
2022-09-15,273.7300109863281
2022-09-16,268.05999755859375
2022-09-19,269.92999267578125
2022-09-20,263.69000244140625
2022-09-21,258.20001220703125
2022-09-22,253.11000061035156
2022-09-23,254.24000549316406
2022-09-26,252.8300018310547
2022-09-27,246.38999938964844
2022-09-28,251.92999267578125
2022-09-29,251.27000427246094
2022-09-30,246.0800018310547
2022-10-03,255.92999267578125
2022-10-04,261.1499938964844
2022-10-05,259.6700134277344
2022-10-06,256.260009765625
2022-10-07,249.82000732421875
2022-10-10,245.82000732421875
2022-10-11,239.67999267578125
2022-10-12,239.1199951171875
2022-10-13,249.41000366210938
2022-10-14,247.52999877929688
2022-10-17,255.32000732421875
2022-10-18,261.6099853515625
2022-10-19,243.63999938964844
2022-10-20,231.3000030517578
2022-10-21,232.8800048828125
2022-10-24,236.6199951171875
2022-10-25,249.2100067138672
2022-10-26,254.39999389648438
2022-10-27,221.22999572753906
2022-10-28,225.50999450683594
2022-10-31,230.10000610351562
2022-11-01,229.5
2022-11-02,219.52999877929688
2022-11-03,209.33999633789062
2022-11-04,215.58999633789062
2022-11-07,225.94000244140625
2022-11-08,224.55999755859375
2022-11-09,221.50999450683594
2022-11-10,242.74000549316406
2022-11-11,250.92999267578125
2022-11-14,242.30999755859375
2022-11-15,247.69000244140625
2022-11-16,240.10000610351562
2022-11-17,221.92999267578125
2022-11-18,225.0
2022-11-21,225.25
2022-11-22,228.52999877929688
2022-11-23,228.05999755859375
2022-11-25,226.64999389648438
2022-11-28,224.17999267578125
2022-11-29,223.5
2022-11-30,234.66000366210938
2022-12-01,242.02000427246094
2022-12-02,244.35000610351562
2022-12-05,239.44000244140625
2022-12-06,234.99000549316406
2022-12-07,235.88999938964844
2022-12-08,236.02999877929688
2022-12-09,239.00999450683594
2022-12-12,241.27999877929688
2022-12-13,251.89999389648438
2022-12-14,243.5800018310547
2022-12-15,237.0800018310547
2022-12-16,226.10000610351562
2022-12-19,228.22999572753906
2022-12-20,227.7899932861328
2022-12-21,234.67999267578125
2022-12-22,235.25999450683594
2022-12-23,235.1300048828125
2022-12-27,236.72999572753906
2022-12-28,231.24000549316406
2022-12-29,238.97999572753906
2022-12-30,235.35000610351562
2023-01-03,234.41000366210938
2023-01-04,241.13999938964844
2023-01-05,233.6999969482422
2023-01-06,232.5
2023-01-09,240.72999572753906
2023-01-10,245.92999267578125
2023-01-11,251.35000610351562
2023-01-12,248.08999633789062
2023-01-13,250.6999969482422
2023-01-17,253.0399932861328
2023-01-18,254.50999450683594
2023-01-19,254.77999877929688
2023-01-20,259.54998779296875
2023-01-23,264.1099853515625
2023-01-24,258.3299865722656
2023-01-25,260.4700012207031
2023-01-26,270.0899963378906
2023-01-27,268.6199951171875
2023-01-30,261.82000732421875
2023-01-31,265.6000061035156
2023-02-01,271.5899963378906
2023-02-02,281.8800048828125
2023-02-03,272.8800048828125
2023-02-06,268.1700134277344
2023-02-07,272.3800048828125
2023-02-08,265.07000732421875
2023-02-09,267.42999267578125
2023-02-10,271.1400146484375
2023-02-13,273.30999755859375
2023-02-14,276.0400085449219
2023-02-15,279.17999267578125
2023-02-16,319.7699890136719
2023-02-17,313.7200012207031
2023-02-21,306.67999267578125
2023-02-22,305.54998779296875
2023-02-23,312.0299987792969
2023-02-24,310.25
2023-02-27,312.9599914550781
2023-02-28,317.0299987792969
2023-03-01,318.2799987792969
2023-03-02,322.70001220703125
2023-03-03,329.260009765625
2023-03-06,323.3999938964844
2023-03-07,321.69000244140625
2023-03-08,319.7200012207031
2023-03-09,315.30999755859375
2023-03-10,314.54998779296875
2023-03-13,321.2200012207031
2023-03-14,328.57000732421875
2023-03-15,325.5899963378906
2023-03-16,336.4100036621094
2023-03-17,329.7200012207031
2023-03-20,331.9599914550781
2023-03-21,335.0299987792969
2023-03-22,328.94000244140625
2023-03-23,331.8500061035156
2023-03-24,334.29998779296875
2023-03-27,335.8299865722656
2023-03-28,339.80999755859375
2023-03-29,337.9800109863281
2023-03-30,340.8699951171875
2023-03-31,346.4700012207031
2023-04-03,347.0400085449219
2023-04-04,348.1000061035156
2023-04-05,346.760009765625
2023-04-06,344.7200012207031
2023-04-10,349.7900085449219
2023-04-11,354.80999755859375
2023-04-12,358.7699890136719
2023-04-13,366.739990234375
2023-04-14,363.92999267578125
2023-04-17,362.4700012207031
2023-04-18,362.05999755859375
2023-04-19,367.6400146484375
2023-04-20,361.4100036621094
2023-04-21,365.8800048828125
2023-04-24,371.9700012207031
2023-04-25,357.0
2023-04-26,357.2300109863281
2023-04-27,355.2200012207031
2023-04-28,361.239990234375
2023-05-01,366.1300048828125
2023-05-02,369.6199951171875
2023-05-03,368.42999267578125
2023-05-04,369.1700134277344
2023-05-05,368.4599914550781
2023-05-08,367.0799865722656
2023-05-09,361.7300109863281
2023-05-10,362.7200012207031
2023-05-11,360.1000061035156
2023-05-12,360.0199890136719
2023-05-15,355.17999267578125
2023-05-16,354.55999755859375
2023-05-17,348.05999755859375
2023-05-18,350.739990234375
2023-05-19,351.3900146484375
2023-05-22,350.9200134277344
2023-05-23,342.80999755859375
2023-05-24,340.6499938964844
2023-05-25,340.20001220703125
2023-05-26,343.5
2023-05-30,336.3500061035156
2023-05-31,334.6300048828125
2023-06-01,341.5299987792969
2023-06-02,343.7300109863281
2023-06-05,343.3999938964844
2023-06-06,346.19000244140625
2023-06-07,344.7200012207031
2023-06-08,349.75
2023-06-09,348.2799987792969
2023-06-12,357.3900146484375
2023-06-13,357.82000732421875
2023-06-14,354.69000244140625
2023-06-15,359.79998779296875
2023-06-16,362.0400085449219
2023-06-20,366.1099853515625
2023-06-21,368.8999938964844
2023-06-22,368.6700134277344
2023-06-23,367.0
2023-06-26,365.07000732421875
2023-06-27,369.3399963378906
2023-06-28,369.2099914550781
2023-06-29,377.3599853515625
2023-06-30,382.4700012207031
2023-07-03,378.3299865722656
2023-07-05,377.0299987792969
2023-07-06,373.2300109863281
2023-07-07,371.6000061035156
2023-07-10,377.29998779296875
2023-07-11,375.3399963378906
2023-07-12,383.5199890136719
2023-07-13,383.6600036621094
2023-07-14,385.1300048828125
2023-07-17,383.6199951171875
2023-07-18,384.5899963378906
2023-07-19,385.6199951171875
2023-07-20,378.75
2023-07-21,377.32000732421875
2023-07-24,376.05999755859375
2023-07-25,377.1300048828125
2023-07-26,379.4200134277344
2023-07-27,354.8999938964844
2023-07-28,365.4599914550781
2023-07-31,368.0400085449219
2023-08-01,371.6600036621094
2023-08-02,370.5799865722656
2023-08-03,369.7200012207031
2023-08-04,375.07000732421875
2023-08-07,378.70001220703125
2023-08-08,399.8699951171875
2023-08-09,400.1499938964844
2023-08-10,400.25
2023-08-11,394.739990234375
2023-08-14,399.8900146484375
2023-08-15,402.1300048828125
2023-08-16,397.489990234375
2023-08-17,392.8699951171875
2023-08-18,387.7699890136719
2023-08-21,392.67999267578125
2023-08-22,393.17999267578125
2023-08-23,393.07000732421875
2023-08-24,391.7200012207031
2023-08-25,393.7300109863281
2023-08-28,403.3699951171875
2023-08-29,412.4100036621094
2023-08-30,409.1199951171875
2023-08-31,406.8999938964844
2023-09-01,407.69000244140625
2023-09-05,403.6700134277344
2023-09-06,404.8500061035156
2023-09-07,403.8599853515625
2023-09-08,393.1600036621094
2023-09-11,397.1499938964844
2023-09-12,393.82000732421875
2023-09-13,395.2699890136719
2023-09-14,397.8999938964844
2023-09-15,394.17999267578125
2023-09-18,394.6000061035156
2023-09-19,392.6099853515625
2023-09-20,384.3399963378906
2023-09-21,374.29998779296875
2023-09-22,372.510009765625
2023-09-25,375.6000061035156
2023-09-26,375.3999938964844
2023-09-27,375.17999267578125
2023-09-28,379.0799865722656
2023-09-29,375.2099914550781
2023-10-02,370.5799865722656
2023-10-03,368.8299865722656
